model,rmse,mae,r2,split,model_size_mb
Random Forest,0.03248249992852936,0.022922138944606995,0.9988654701057991,val,0.63
XGBoost,0.12046483404843075,0.0521865558624272,0.9843959395243914,val,0.07
MLP,0.8274585021170214,0.738260699081421,0.2637768035207051,val,0.2
LSTM-DNN,6.234673076207351,6.136872880780138,-40.7969337281557,val,0.09
Stacking Ensemble,0.744038617323519,0.7132033889196197,0.4047382106788243,val,0.63
